Amplitude A,Amplitude B,Amplitude C,Ration A/B,Ratio A/C,Ratio B/A,Ratio B/C,Ratio C/A,Ratio C/B,STD Abw. A,STD Abw. B,STD Abw. C,SW OK A,SW OK B,SW OK C,Schwelle A,Schwelle B,Schwelle C
0,0,0,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,0,0,0,88.82031,82.11719,100,6.15,1.65,1.975
6.35156,2.375,1.11719,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,5.5,1.875,0.79688,88.82031,82.11719,100,6.15,1.65,1.975
5.15625,2.49219,1.03906,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,4.75,1.89063,0.84375,88.82031,82.11719,100,6.15,1.65,1.975
4.17969,2.24219,0.74219,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,4.42969,1.78906,0.78906,88.82031,82.11719,100,6.15,1.65,1.975
5.36719,1.83594,1.14063,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,4.25781,1.70313,0.80469,88.82031,82.11719,100,6.15,1.65,1.975
4.14063,1.84375,1.13281,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,4.10156,1.60938,0.80469,88.82031,82.11719,100,6.15,1.65,1.975
4.08594,1.5625,1.16406,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.92969,1.58594,0.80469,88.82031,82.11719,100,6.15,1.65,1.975
2.26563,2.21875,1.07813,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.8125,1.57813,0.80469,88.82031,82.11719,100,6.15,1.65,1.975
4.53906,1.92188,0.92969,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.6875,1.53906,0.78906,88.82031,82.11719,100,6.15,1.65,1.975
4.32813,1.58594,0.70313,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.60156,1.51563,0.77344,88.82031,82.11719,100,6.15,1.65,1.975
3.53125,3.1875,0.98438,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.55469,1.60938,0.77344,88.82031,82.11719,100,6.15,1.65,1.975
3.35938,2.44531,0.64063,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.47656,1.60938,0.75781,88.82031,82.11719,100,6.15,1.65,1.975
2.39844,2.55469,1.28125,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.41406,1.60156,0.78125,88.82031,82.11719,100,6.15,1.65,1.975
4.84375,2.01563,1.46094,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.39063,1.57813,0.8125,88.82031,82.11719,100,6.15,1.65,1.975
5.22656,2.0625,0.90625,2.16406,3.96094,0.46094,1.82813,0.25,0.53906,3.41406,1.55469,0.80469,88.82031,82.11719,100,6.15,1.65,1.975
